Date,AM,PM,IfNil,,
8102020,Nil,Nil,NIL,,178
7102020,Nil,Nil,NIL,,
6102020,Nil,Nil,NIL,,
5102020,Nil,Nil,NIL,,
4102020,Nil,Nil,NIL,,
3102020,Nil,Nil,NIL,,
2102020,Nil,Nil,NIL,,
1102020,Nil,Nil,NIL,,
30092020,Nil,Nil,NIL,,
29092020,Nil,Nil,NIL,,
28092020,Nil,Nil,NIL,,
27092020,Nil,Nil,NIL,,
26092020,Nil,Nil,NIL,,
25092020,Nil,Nil,NIL,,
24092020,Nil,Nil,NIL,,
23092020,Nil,Nil,NIL,,
22092020,Nil,Nil,NIL,,
21092020,Nil,Nil,NIL,,
20092020,Nil,Nil,NIL,,
19092020,Nil,Nil,NIL,,
18092020,Nil,Nil,NIL,,
17092020,Nil,Nil,NIL,,
16092020,Nil,Nil,NIL,,
15092020,Nil,Nil,NIL,,
14092020,Nil,Nil,NIL,,
13092020,Nil,Nil,NIL,,
12092020,Nil,Nil,NIL,,
11092020,Nil,Nil,NIL,,
10092020,Nil,Nil,NIL,,
9092020,Nil,Nil,NIL,,
8092020,Nil,Nil,NIL,,
7092020,Nil,Nil,NIL,,
6092020,Nil,Nil,NIL,,
5092020,Nil,Nil,NIL,,
4092020,Nil,Nil,NIL,,
3092020,Nil,Nil,NIL,,
2092020,Nil,Nil,NIL,,
1092020,Nil,Nil,NIL,,
31082020,Nil,Nil,NIL,,
30082020,Nil,Nil,NIL,,
29082020,Nil,Nil,NIL,,
28082020,Nil,Nil,NIL,,
27082020,Nil,Nil,NIL,,
26082020,Nil,Nil,NIL,,
25082020,Nil,Nil,NIL,,
24082020,Nil,Nil,NIL,,
23082020,Nil,Nil,NIL,,
22082020,Nil,Nil,NIL,,
21082020,Nil,Nil,NIL,,
20082020,Nil,Nil,NIL,,
19082020,Nil,Nil,NIL,,
18082020,Nil,Nil,NIL,,
17082020,Nil,Nil,NIL,,
16082020,Nil,Nil,NIL,,
15082020,Nil,Nil,NIL,,
14082020,Nil,Nil,NIL,,
13082020,Nil,Nil,NIL,,
12082020,Nil,Nil,NIL,,
11082020,Nil,Nil,NIL,,
10082020,Nil,Nil,NIL,,
9082020,Nil,Nil,NIL,,
8082020,Nil,Nil,NIL,,
7082020,Nil,Nil,NIL,,
6082020,Nil,Nil,NIL,,
5082020,Nil,Nil,NIL,,
4082020,Nil,Nil,NIL,,
3082020,Nil,Nil,NIL,,
2082020,Nil,Nil,NIL,,
1082020,Nil,Nil,NIL,,
31072020,Nil,Nil,NIL,,
30072020,Nil,Nil,NIL,,
29072020,Nil,Nil,NIL,,
28072020,Nil,Nil,NIL,,
27072020,Nil,Nil,NIL,,
26072020,Nil,Nil,NIL,,
25072020,Nil,Nil,NIL,,
24072020,Nil,Nil,NIL,,
23072020,Nil,Nil,NIL,,
22072020,Nil,Nil,NIL,,
21072020,Nil,Nil,NIL,,
20072020,Nil,Nil,NIL,,
19072020,Nil,Nil,NIL,,
18072020,Nil,Nil,NIL,,
17072020,37.0°C,Nil,NIL,,
16072020,35.6°C,36.7°C,OK,,
15072020,36.0°C,36.2°C,OK,,
14072020,35.7°C,36.9°C,OK,,
13072020,36.2°C,36.5°C,OK,,
12072020,Nil,Nil,NIL,,
11072020,Nil,Nil,NIL,,
10072020,35.7°C,37.0°C,OK,,
9072020,35.2°C,36.0°C,OK,,
8072020,35.7°C,36.9°C,OK,,
7072020,35.9°C,36.9°C,OK,,
6072020,36.4°C,36.8°C,OK,,
5072020,Nil,Nil,NIL,,
4072020,Nil,Nil,NIL,,
3072020,35.8°C,37.2°C,OK,,
2072020,35.9°C,36.7°C,OK,,
1072020,36.1°C,36.8°C,OK,,
30062020,36.1°C,37.2°C,OK,,
29062020,36.9°C,37.0°C,OK,,
28062020,Nil,Nil,NIL,,
27062020,36.7°C,36.8°C,OK,,
26062020,35.8°C,36.7°C,OK,,
25062020,35.9°C,37.0°C,OK,,
24062020,36.9°C,37.0°C,OK,,
23062020,36.4°C,36.5°C,OK,,
22062020,36.9°C,36.2°C,OK,,
21062020,36.6°C,36.9°C,OK,,
20062020,36.4°C,36.0°C,OK,,
19062020,36.4°C,36.9°C,OK,,
18062020,36.4°C,36.3°C,OK,,
17062020,37.0°C,36.9°C,OK,,
16062020,36.3°C,36.7°C,OK,,
15062020,36.7°C,35.8°C,OK,,
14062020,35.7°C,37.0°C,OK,,
13062020,35.7°C,36.0°C,OK,,
12062020,36.1°C,36.2°C,OK,,
11062020,36.4°C,36.4°C,OK,,
11062020,36.4°C,36.4°C,OK,,
16062020,36.3°C,36.7°C,OK,,
15062020,36.7°C,Nil,NIL,,
14062020,35.7°C,37.0°C,OK,,
13062020,35.7°C,36.0°C,OK,,
12062020,36.1°C,36.2°C,OK,,
11062020,36.4°C,36.4°C,OK,,
